03:58:51 citybuddy-bench-k6 cpu=2.55% mem=32MiB / 13.63GiB
03:58:51 citybuddy-bench-agent cpu=20.84% mem=74.37MiB / 13.63GiB
03:58:51 citybuddy-bench-model cpu=0.33% mem=38.16MiB / 13.63GiB
03:58:51 citybuddy-bench-commerce cpu=0.63% mem=363.5MiB / 13.63GiB
03:58:51 citybuddy-mysql-1 cpu=2.56% mem=1.034GiB / 13.63GiB
03:58:51 citybuddy-elasticsearch-1 cpu=2.08% mem=1.282GiB / 13.63GiB
03:58:53 citybuddy-bench-k6 cpu=0.33% mem=32.08MiB / 13.63GiB
03:58:53 citybuddy-bench-agent cpu=23.24% mem=74.98MiB / 13.63GiB
03:58:53 citybuddy-bench-model cpu=0.36% mem=38.16MiB / 13.63GiB
03:58:53 citybuddy-bench-commerce cpu=0.11% mem=363.5MiB / 13.63GiB
03:58:53 citybuddy-mysql-1 cpu=3.61% mem=1.034GiB / 13.63GiB
03:58:53 citybuddy-elasticsearch-1 cpu=1.45% mem=1.282GiB / 13.63GiB
03:58:55 citybuddy-bench-k6 cpu=0.49% mem=32.1MiB / 13.63GiB
03:58:55 citybuddy-bench-agent cpu=25.27% mem=76.43MiB / 13.63GiB
03:58:55 citybuddy-bench-model cpu=0.47% mem=38.16MiB / 13.63GiB
03:58:55 citybuddy-bench-commerce cpu=0.19% mem=363.5MiB / 13.63GiB
03:58:55 citybuddy-mysql-1 cpu=3.48% mem=1.034GiB / 13.63GiB
03:58:55 citybuddy-elasticsearch-1 cpu=1.64% mem=1.282GiB / 13.63GiB
03:58:57 citybuddy-bench-k6 cpu=0.32% mem=32.1MiB / 13.63GiB
03:58:57 citybuddy-bench-agent cpu=21.49% mem=78.64MiB / 13.63GiB
03:58:57 citybuddy-bench-model cpu=0.34% mem=38.16MiB / 13.63GiB
03:58:57 citybuddy-bench-commerce cpu=0.08% mem=363.5MiB / 13.63GiB
03:58:57 citybuddy-mysql-1 cpu=2.78% mem=1.034GiB / 13.63GiB
03:58:57 citybuddy-elasticsearch-1 cpu=2.17% mem=1.282GiB / 13.63GiB
03:58:59 citybuddy-bench-k6 cpu=0.32% mem=32.1MiB / 13.63GiB
03:58:59 citybuddy-bench-agent cpu=22.17% mem=78.99MiB / 13.63GiB
03:58:59 citybuddy-bench-model cpu=0.31% mem=38.16MiB / 13.63GiB
03:58:59 citybuddy-bench-commerce cpu=0.13% mem=363.5MiB / 13.63GiB
03:58:59 citybuddy-mysql-1 cpu=2.02% mem=1.035GiB / 13.63GiB
03:58:59 citybuddy-elasticsearch-1 cpu=0.90% mem=1.282GiB / 13.63GiB
03:59:01 citybuddy-bench-k6 cpu=0.36% mem=32.1MiB / 13.63GiB
03:59:01 citybuddy-bench-agent cpu=22.52% mem=79.5MiB / 13.63GiB
03:59:01 citybuddy-bench-model cpu=0.37% mem=38.16MiB / 13.63GiB
03:59:01 citybuddy-bench-commerce cpu=1.25% mem=363.6MiB / 13.63GiB
03:59:01 citybuddy-mysql-1 cpu=1.59% mem=1.034GiB / 13.63GiB
03:59:01 citybuddy-elasticsearch-1 cpu=1.56% mem=1.282GiB / 13.63GiB
03:59:03 citybuddy-bench-k6 cpu=0.34% mem=32.11MiB / 13.63GiB
03:59:03 citybuddy-bench-agent cpu=22.62% mem=79.68MiB / 13.63GiB
03:59:03 citybuddy-bench-model cpu=0.36% mem=38.16MiB / 13.63GiB
03:59:03 citybuddy-bench-commerce cpu=0.09% mem=363.6MiB / 13.63GiB
03:59:03 citybuddy-mysql-1 cpu=1.44% mem=1.034GiB / 13.63GiB
03:59:03 citybuddy-elasticsearch-1 cpu=2.27% mem=1.282GiB / 13.63GiB
03:59:05 citybuddy-bench-k6 cpu=0.30% mem=34.12MiB / 13.63GiB
03:59:05 citybuddy-bench-agent cpu=21.43% mem=79.69MiB / 13.63GiB
03:59:05 citybuddy-bench-model cpu=0.33% mem=38.16MiB / 13.63GiB
03:59:05 citybuddy-bench-commerce cpu=0.09% mem=363.6MiB / 13.63GiB
03:59:05 citybuddy-mysql-1 cpu=1.33% mem=1.034GiB / 13.63GiB
03:59:05 citybuddy-elasticsearch-1 cpu=0.84% mem=1.282GiB / 13.63GiB
